ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	16384	1	16420000	16418018.997
25461	16384	2	16419963	16418002.997
25461	16384	3	16419903	16417946.997
25461	16384	4	16420140	16418013.997
25461	16384	5	16419915	16417956.997
25461	16384	6	16420040	16418019.997
25461	16384	7	16419913	16417962.997
25461	16384	8	16419898	16417942.997
25461	16384	9	16419915	16417947.997
25461	16384	10	16419897	16417947.997
25461	16384	11	16420127	16418013.997
25461	16384	12	16420062	16417978.997
25461	16384	13	16419950	16417948.997
25461	16384	14	16420036	16417953.997
25461	16384	15	16419890	16417919.997
25461	16384	16	16419904	16417942.997
25461	16384	17	16419924	16417968.997
25461	16384	18	16420107	16418005.997
25461	16384	19	16419901	16417929.997
25461	16384	20	16419977	16418001.997
25461	16384	21	16419948	16417993.997
25461	16384	22	16419885	16417920.997
25461	16384	23	16420028	16417936.997
25461	16384	24	16419913	16417947.997
25461	16384	25	16420044	16418007.997
25461	16384	26	16419943	16417978.997
25461	16384	27	16420074	16417960.997
25461	16384	28	16419946	16418004.997
25461	16384	29	16419993	16417922.997
25461	16384	30	16420100	16417966.997
